Clave,Longitud,Latitud,comid
E035025110,-73.467916669999994,4.057361110000002,610319216
E035030010,-73.709999999999994,4.349997220000000,610280479
E035040010,-73.546527780000005,4.338722220000000,610328000
E035045020,-73.357500000000002,4.300444440000000,610402801
E035050010,-73.349997220000006,4.510000000000000,610276069
E035050020,-73.395972220000004,4.423222220000002,610342073
E035060120,-73.470555559999994,4.723305560000000,610402777
E035060180,-73.528583330000004,4.752388890000000,610225896
E035060300,-73.391944440000003,4.852527780000000,610308609
E035070010,-73.332972220000002,5.399527780000000,610303295
E035070020,-73.602888890000003,5.383055560000000,610270734
E035070040,-73.395944439999994,5.315277780000000,610386021
E035070070,-73.364249999999998,5.164861110000000,610227631
E035070080,-73.368527779999994,5.078861110000000,610247875
E035070100,-73.433055560000000,4.983472220000000,610274281
E035070180,-73.256749999999997,4.860777780000000,610434446
E035070260,-73.379861109999993,4.970833330000000,610248761
E035075020,-73.449166669999997,5.022277780000000,610391321
E035075030,-73.349416669999997,5.422222220000000,610340254
E035080010,-73.169277780000002,5.282972220000000,610327942
E035080060,-73.203444439999998,5.013611110000000,610372839
E035080070,-73.169861109999999,4.819777780000000,610434451
E035085020,-73.203611109999997,5.358416670000000,610350818
E035100020,-72.790000000000006,4.280000000000000,610452964
E035120010,-72.076638889999998,4.311388890000000,610420403
E035130010,-72.765722220000001,3.956083330000000,610254982
E035187010,-72.152388889999997,4.441833330000000,610415114
E035190070,-72.458583329999996,5.091916670000000,610239074
E035195050,-72.717222219999996,5.407277780000000,610392175
E035195060,-72.790972220000000,5.523611110000000,610267208
E035210010,-72.456249999999997,5.453055560000000,610234653
E036025010,-71.745027780000001,6.456194440000000,610291794
E036030030,-71.707638889999998,6.570638890000000,610237225
E037010010,-72.500555559999995,7.298055560000000,610261821
E037010020,-72.664722220000002,7.139444440000000,610271511
E037010030,-72.643611109999995,7.270000000000000,610227503
E037010040,-72.680833329999999,7.013888890000000,610221359
E037010080,-72.712777779999996,7.198333330000000,610195828
E037015020,-72.868611110000003,7.186944440000000,610234548
E037020020,-72.441944440000000,7.226666670000000,610245984
E037020030,-72.300277780000002,7.098888890000000,610052393
E037050010,-71.419722219999997,7.037222220000000,610353358
E037050040,-70.851666670000000,6.974166670000000,610283841
E037050050,-70.265555559999996,6.940277780000000,610347203
E038027020,-67.834166670000002,4.956861110000000,610448524
E042070030,-69.910694440000000,0.993722220000000,620853349
E042075010,-70.239999999999995,1.260000000000000,620773527
E044010030,-76.680833329999999,1.202500000000000,620624921
E044010100,-76.571222219999996,1.694833330000000,620536831
E044010110,-76.541527779999996,1.026805560000000,620788675
E044015030,-76.668750000000003,1.900416670000000,620340051
E044030060,-75.489999999999995,1.490000000000000,620719849
E044040020,-75.870722220000005,1.419527780000000,620651052
E044045010,-75.961500000000001,1.325138890000000,620600146
E044045020,-75.704472220000000,1.195250000000000,620740506
E044055010,-75.236111109999996,0.737500000000000,620829969
E047010050,-76.930250000000001,1.134055560000000,620635932
E047010090,-76.883388890000006,1.178944440000000,620452920
